Structure(SMILES)	DTXSID	FW
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCC[N+](C)(C)C	DTXSID801035197	713.3679
FC(F)(C(=O)NCC[N+](C)([O-])C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID001033109	700.2340
FC(F)(C(Cl)(Cl)Cl)C(Cl)(F)C(F)(F)C(Cl)(F)C(F)(F)C(Cl)(Cl)Cl	DTXSID10788701	519.6861
[K+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)F	DTXSID20880947	320.1995 (39.0978+281.1017)
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)C(F)=C(F)C(F)(F)F	DTXSID601032604	494.1498
FC(F)(F)C(F)(CCSC(=O)C)C(F)(F)F	DTXSID30896332	272.1837
FC(F)(F)C(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID20895197	441.9840
FC1(F)C(F)(F)C=C(F)C(F)=CC1(F)F	DTXSID50524504	238.0780
CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50896016	348.2086
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)CCCCCCCCCC	DTXSID20895192	360.3022
FC1(C(C(F)(OC1(F)C(F)(F)F)C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID20880942	516.0745
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXSID30896337	614.1415
OCC(C(OC(=O)C)C(O)[N+](C)(C)CC([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301036621	867.3415
FC(F)(CCCCO)C(F)(F)F	DTXSID80377823	192.1271
[K+].Oc1ccc(cc1)C(c1ccc([O-])cc1)(C(F)(F)F)C(F)(F)F	DTXSID30200910	374.3195 (39.0978+335.2217)
[NH4+].FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID801032917	681.1364 (663.0985+18.0379)
O=C(Nc1ccccc1)C(F)(F)OC(F)(F)C(Cl)(F)F	DTXSID70574566	321.6036
FC(F)(F)C(F)(C=CI)C(F)(F)F	DTXSID101023006	321.9627
FC(F)(C(F)(F)C=CI)C(F)(F)F	DTXSID00346051	321.9627
FC(F)(OC(Br)(F)C(F)(Br)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID00896748	591.8669
FC(F)(F)C(F)OC=O	DTXSID001027279	146.0404
FC(F)(CCOCCO)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00895418	308.1415
FC(F)(COCC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXSID00895413	382.0944
FC(F)(CCS(=O)CC(O)C[N+](C)(C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID701035849	812.3949
FC(F)(CCC(F)(F)C(F)F)C(F)F	DTXSID40337463	230.0991
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)N(CC)CCOC(=O)Nc1cc(NC(=O)OC(C)COC(=O)C(=C)C)c(C)cc1	DTXSID40880601	839.5676
ClC(Cl)(C(F)(F)C(F)(F)F)C(Cl)(Cl)Cl	DTXSID80820420	320.2998
FC(F)(F)C(F)(C(=O)C(\F)=C(/F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID00896743	428.0702
O=C1NC(=O)NCC1C(F)(F)C(F)(F)C(F)(F)F	DTXSID30541335	282.1156
FC(c1cnc(Cl)cc1)(C(F)(F)F)C(F)(F)F	DTXSID30896352	281.5579
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)N(CC)CCOC(=O)Nc1cc(NC(=O)OC(C)COC(=O)C(=C)C)c(C)cc1	DTXSID40880606	689.5450
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)F	DTXSID30710605	400.0601
O=[N+]([O-])c1cc(ccc1)C(c1cccc(c1)[N+]([O-])=O)(C(F)(F)F)C(F)(F)F	DTXSID30554647	394.2254
O=S(=O)(O)CCCN(C(CCN(C)C)CO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301035328	536.4313
FC(F)(OCCCC)C(F)F	DTXSID80189327	174.1366
FC(F)(F)C(F)(F)N(F)F	DTXSID10276370	171.0169
FC(F)(N=S(F)C(F)(F)F)C(F)(F)F	DTXSID30631381	253.0894
FC(F)(/C=C/C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID401026580	340.0907
CC1(CC(F)(F)C1(F)F)C(Cl)=O	DTXSID601026831	204.5499
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COc1ccc(cc1)c1ncc(cn1)OCCCCCCCC	DTXSID101026929	714.4637
FC1(F)OC(F)(F)C(F)(F)OC1(F)I	DTXSID40817376	339.9349
FC(F)(F)C(Cl)(F)C(C)(C)O	DTXSID20536932	194.5551
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C=C	DTXSID6047575	246.0736
