SMILES,logKow_EPISuite
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(NCCO)=O,3.29
FC(C(F)(F)F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(NCCO)=O,3.96
C(N([S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCO)C,4.66
FC(C(C(F)(F)F)(F)F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(NCCO)=O,4.62
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(NCCO)=O,2.62
C(C(F)(F)C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(COC(C=C)=O)O,9.59
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(O)COC(=O)C=C,10.93
O=C(C(C(C(C(C(O)=O)(F)F)(F)F)(F)F)(F)F)O,1.53
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)F,0.38
C(OC(C(C(C(C(C(OCC)=O)(F)F)(F)F)(F)F)(F)F)=O)C,3.68
C(CC(C(=O)OC)C(=O)OC)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,5.37
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(Cl)=O,6.75
C(CC(C(=O)OCCCCOC=C)C(=O)OCCCCOC=C)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,7.5
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)COC(C=C)=O,4.43
